ASN 	Provider 	Link 	Notes
12956 	Telefonica 	http://lg.ri.telefonica-data.net/cgi-bin/lg.pl 	OK
12969 	Vodafone Iceland 	http://lg.vodafone.is/ 	OK
13030 	Init Seven AG 	http://www.init7.net/looking-glass/ 	OK
13188 	BANKINFORM (Triolan) 	http://lg.triolan.net.ua 	OK
13193 	Nerim 	http://stats.nerim.net/nav/lg/ 	OK
13194 	Bite GSM 	http://www.tinklomatas.lt/LookingGlass/ 	OK
13249 	ITSystems ISP 	http://lg.itsinternet.net/ 	OK
13273 	France Teaser 	http://looking-glass.teaser.fr/ 	OK
13284 	Brain Technology - Playnet - Italy 	http://lg.playnet.it 	OK
13645 	BroadbandONE / Host.net 	http://lg.host.net 	OK
15389 	Faroese Telecom 	http://netcon.internet.fo/cgi-bin/lg.cgi 	OK
15396 	ICM 	http://www.net.icm.edu.pl/lg/ 	OK
15412 	FLAG Telecom 	http://ubs.flagtel.com/lg 	OK
15474 	RHnet - Iceland University Research Network 	http://www.rhnet.is/cgi-bin/nlg/lg.cgi 	OK
15497 	ColoCall 	http://noc.colocall.net/lg.html 	OK
15605 	Lina.Net 	http://lg.linanet.is/ 	OK
15645 	Ukrainian Exchange UA-IX 	http://lg.ix.net.ua/ 	OK
15744 	Silesian University of Technology, Computer Center 	http://lg.silweb.pl 	OK
15756 	Caravan ISP 	http://noc.caravan.ru/cgi-bin/lg.cgi 	OK
15772 	WNet 	http://support.wnet.ua/lg.php 	OK
15968 	Netpilot 	http://noc.netpilot.net/cgi-bin/lg/lg.pl 	OK
16215 	Genotec Internet Consulting AG 	http://lg.as16215.net/ 	OK
16265 	LeaseWeb 	http://noc.leaseweb.com/ 	OK
16397 	.comDOMINIO 	http://lg.comdominio.com.br 	OK
16422 	NEWskies 	http://www.newskies.net/lg/ 	OK
17175 	NEWskies 	http://www.newskies.net/lg/ 	OK
17999 	PIPE Networks (SA) 	http://www.pipenetworks.com/lg/ 	OK
18221 	TSN Internet 	http://looking-glass.tsn.cc 	OK
18398 	PIPE Networks (NSW) 	http://www.pipenetworks.com/lg/ 	OK
19214 	Centauri Communications 	http://lg.centauricom.com/lg/lg.cgi 	OK
19151 	BBOI 	http://irr.bboi.net/cgi-bin/lg.cgi 	OK
20080 	AMPATH 	http://loadrunner.uits.iu.edu/~routerproxy/ampath/ 	OK
20485 	TransTeleCom 	http://lg.transtk.ru/ 	OK
20555 	WSISiZ 	http://noc.wsisiz.edu.pl/lg/lg.cgi 	OK
20685 	Evrocom 	http://www.evrocom.net/bg/support/lg.html 	OK
20773 	Hosteurope 	http://latency.hosteurope.de/lg/ 	OK
20853 	Etop/ DataHouse.pl 	http://lg.etop.pl/ 	OK
20932 	IP-MAN/SIG 	http://lg.ip-man.net/ 	OK
21083 	N-IX 	http://www.n-ix.net/lg.html 	OK
21131 	Sacura Telecom 	http://noc.cv.ua/glass.html 	OK
21142 	PragoNet 	http://nms1.prago.net/public-cgi-bin/lg/lg.cgi 	OK
21219 	DataGroup (NewLine) 	http://lg.newline.net.ua/ 	OK
21230 	Mnet 	http://lg.mnet.bg/ 	OK
21238 	LIPEX 	http://www.lipex.net/looking_glass/ 	OK
23504 	Speakeasy 	http://lg.speakeasy.net/ 	OK
23649 	NEWskies 	http://www.newskies.net/lg/ 	OK
23741 	PIPE Networks (TAS) 	http://www.pipenetworks.com/lg/ 	OK
23745 	PIPE Networks (VIC) 	http://www.pipenetworks.com/lg/ 	OK
24557 	AussieHQ 	http://looking-glass.aussiehq.net.au 	OK
24770 	UnixSol (Sofia, Bulgaria) 	http://www.unixsol.org/lg 	OK
24796 	NaMeX - Nautilus Mediterranean eXchange 	http://www.namex.it/lg.php 	OK
24971 	Master Internet 	http://www.master.cz/lg 	OK
25137 	nfsi telecom 	http://lg.nfsi.pt/ 	OK
25409 	AlsysNet 	http://lg.alsysdata.net 	OK
25462 	ReTN 	http://lg.retn.net/ 	OK
25528 	Vodatel HR 	http://lg.vodatel.hr 	OK
25577 	C4L 	http://lg.c4l.co.uk 	OK
28809 	Nauka-Svyaz 	http://lg.naukanet.ru/ 	OK
28929 	ASDASD srl (Italy) 	http://as28929.net/lg/ 	OK
28968 	Eurasia Telecom 	http://www.eut.ru/client/lg.html 	OK
29305 	OF.PL Poland 	http://lg.of.pl/ 	OK
29266 	Danish Broadcast Corporation 	http://lg.dr.dk/ 	OK
29527 	Othello Technology Systems Ltd. 	http://www.as29527.net/lg/ 	OK
29632 	NetAssist 	http://noc.netassist.kiev.ua/lg.php 	OK
29686 	Probe Networks 	http://probe-networks.de/lg/ 	OK
30653 	Exobit Networks 	http://noc.exobitnetworks.com/lg/lg.cgi 	OK
30781 	Jaguar Network 	http://www.as30781.net/lg/ 	OK
30789 	Sellinet 	http://sellinet.net/look 	OK
30795 	INTRON Networks 	http://lg.intron.net 	OK
30890 	Evolva Telecom 	http://lg.evolva.ro 	OK
30975 	Telewizja Kablowa Koszalin sp. z o. o. 	http://sloniewski.pl/lg/ 	OK
31554 	RomNet altFEL 	http://lg.romnet.org 	OK
33031 	Inerail 	http://as33031.net 	OK
33843 	interscholz Internet Services 	http://noc.interscholz.net/lg/ 	OK
33868 	Perfekt 	http://lg.net.perfekt.pl 	OK
34043 	Romania Internet Security Systems 	http://lg.riss.ro/ 	OK
34501 	Romania Internet Security Systems 	http://lg.riss.ro/ 	OK
34688 	Maverick 	http://lg.maverick.com.pl/ 	OK
35320 	EuroTransTelecom 	http://lg.ett.com.ua/ 	OK
39122 	Blacknight Internet Solutions 	http://www.39122.as 	OK
39397 	Az.StarNet 	http://noc.simsiz.az/lg 	OK
41075 	ATW Internet 	http://atw.co.hu/lg 	OK
41095 	IPTP Networks 	http://www.iptp.net/lg.php 	OK
42227 	Airwire 	http://lg.as42227.net/ 	OK
43646 	Smartjog (TDF Group) 	http://www.as43646.net/tools/ 	OK
43782 	DARS Telecom 	http://darstelecom.ru/lg/ 	OK
43975 	VolgaTelecom 	http://lg.vt.ru/ 	OK
44814 	BulgarTel 	http://lg.bulgartel.bg/ 	OK
48415 	AirExpress (Zhytomyr, Ukraine) 	http://lg.airexpress.net.ua/ 	OK
48896 	dhosting.pl Sp. z o.o. 	http://lg.dhosting.pl/ 	OK
50056 	ServerChoice Ltd 	http://lg.as50056.net 	OK
50300 	Custodian Data Centre 	http://lg.custdc.net/ 	OK
56911 	Warian SAS 	http://lg.warian.net/ 	OK
262792 	Vescnet 	http://lg.vescnet.com.br/ 	OK
